"filename", "language", "Dart", "comment", "blank", "total"
"c:\dev\blookly_app\lib\core\utils\app_router.dart", "Dart", 6, 0, 0, 6
"c:\dev\blookly_app\lib\core\widgets\custom_button.dart", "Dart", 38, 0, 2, 40
"c:\dev\blookly_app\lib\feature\home\presentation\view\books_details_view.dart", "Dart", 3, 0, 0, 3
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\best_seller_list_view.dart", "Dart", 1, 0, 0, 1
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\best_seller_list_view_item.dart", "Dart", 2, 0, 0, 2
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\book_details_view_body.dart", "Dart", 68, 0, 3, 71
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\book_rating.dart", "Dart", 6, 0, -1, 5
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\books_action.dart", "Dart", 36, 0, 3, 39
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\custom_app_bar.dart", "Dart", 4, 0, 0, 4
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\custom_book_details_app_bar.dart", "Dart", 20, 0, 3, 23
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\custom_book_item.dart", "Dart", 19, 0, 3, 22
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\feature_list_view.item.dart", "Dart", -19, 0, -3, -22
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\similar_books_list_view.dart", "Dart", 19, 0, 3, 22
"c:\dev\blookly_app\lib\feature\search\presentation\views\search_view.dart", "Dart", 11, 0, 3, 14
"c:\dev\blookly_app\lib\feature\search\presentation\views\widgets\custom_search_text_field.dart", "Dart", 28, 0, 4, 32
"c:\dev\blookly_app\lib\feature\search\presentation\views\widgets\search_view_body.dart", "Dart", 47, 0, 5, 52
"c:\dev\blookly_app\lib\feature\splash\presentation\views\widgets\splash_view_body.dart", "Dart", -2, 0, 0, -2
"Total", "-", 287, 0, 25, 312
