Date : 2024-12-05 16:13:23
Directory : c:\dev\blookly_app\lib
Total : 56 files,  1688 codes, 5 comments, 254 blanks, all 1947 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         56 |      1,688 |          5 |        254 |      1,947 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |         56 |      1,688 |          5 |        254 |      1,947 |
| . (Files)                                                                                               |          2 |         48 |          0 |          7 |         55 |
| core                                                                                                    |         23 |        631 |          0 |        101 |        732 |
| core\errors                                                                                             |          1 |         47 |          0 |          7 |         54 |
| core\functions                                                                                          |          3 |         29 |          0 |          7 |         36 |
| core\models                                                                                             |         11 |        396 |          0 |         69 |        465 |
| core\models\book_model                                                                                  |         11 |        396 |          0 |         69 |        465 |
| core\utils                                                                                              |          5 |         95 |          0 |         11 |        106 |
| core\widgets                                                                                            |          3 |         64 |          0 |          7 |         71 |
| feature                                                                                                 |         31 |      1,009 |          5 |        146 |      1,160 |
| feature\home                                                                                            |         21 |        717 |          0 |         93 |        810 |
| feature\home\data                                                                                       |          2 |         73 |          0 |         10 |         83 |
| feature\home\data\repos                                                                                 |          2 |         73 |          0 |         10 |         83 |
| feature\home\presentation                                                                               |         19 |        644 |          0 |         83 |        727 |
| feature\home\presentation\manager                                                                       |          6 |        102 |          0 |         44 |        146 |
| feature\home\presentation\manager\featured_books_cubit                                                  |          2 |         34 |          0 |         15 |         49 |
| feature\home\presentation\manager\newset_books_cubit                                                    |          2 |         34 |          0 |         14 |         48 |
| feature\home\presentation\manager\similar_books_cubit                                                   |          2 |         34 |          0 |         15 |         49 |
| feature\home\presentation\view                                                                          |         13 |        542 |          0 |         39 |        581 |
| feature\home\presentation\view (Files)                                                                  |          2 |         39 |          0 |          7 |         46 |
| feature\home\presentation\view\widgets                                                                  |         11 |        503 |          0 |         32 |        535 |
| feature\search                                                                                          |          7 |        205 |          0 |         36 |        241 |
| feature\search\data                                                                                     |          2 |         36 |          0 |          7 |         43 |
| feature\search\data\repo                                                                                |          2 |         36 |          0 |          7 |         43 |
| feature\search\presentation                                                                             |          5 |        169 |          0 |         29 |        198 |
| feature\search\presentation\manager                                                                     |          2 |         36 |          0 |         16 |         52 |
| feature\search\presentation\manager\search_books_cubit                                                  |          2 |         36 |          0 |         16 |         52 |
| feature\search\presentation\views                                                                       |          3 |        133 |          0 |         13 |        146 |
| feature\search\presentation\views (Files)                                                               |          1 |         11 |          0 |          3 |         14 |
| feature\search\presentation\views\widgets                                                               |          2 |        122 |          0 |         10 |        132 |
| feature\splash                                                                                          |          3 |         87 |          5 |         17 |        109 |
| feature\splash\presentation                                                                             |          3 |         87 |          5 |         17 |        109 |
| feature\splash\presentation\views                                                                       |          3 |         87 |          5 |         17 |        109 |
| feature\splash\presentation\views (Files)                                                               |          1 |         11 |          0 |          3 |         14 |
| feature\splash\presentation\views\widgets                                                               |          2 |         76 |          5 |         14 |         95 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
